SalaryShortClub,SalaryLastName,SalaryFirstName,SalaryName,SalaryPos,SalaryBaseSalary,SalaryCompensation,SalaryDate,SalaryYear,SalaryMonth,SalaryMonthYear,Designated Player,Remarks
MTL,Ouimette,Karl,Karl Ouimette,D,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
NYRB,Bustamante,Michael,Michael Bustamante,M-D,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
NYRB,Christianson,Ian,Ian Christianson,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
PHI,Ekra,Yann,Yann Ekra,F,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
PHI,Gaddis,Raymon,Raymon Gaddis,D,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
PHI,Jordan,Greg,Greg Jordan,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
PHI,Kassel,Matt,Matt Kassel,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
PHI,Nikolov,Oka,Oka Nikolov,GK,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
PHI,Wheeler,Aaron,Aaron Wheeler,F,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
POR,Evans,Steven,Steven Evans,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
POR,McKenzie,Rauwshan,Rauwshan McKenzie,D,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
POR,Nanchoff,Michael,Michael Nanchoff,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
POR,Rincon,Sebastian,Sebastian Rincon,F,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
POR,Ring,Brad,Brad Ring,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
RSL,Alvarez,Yordany,Yordany Alvarez,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
RSL,Attinella,Jeff,Jeff Attinella,GK,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
RSL,Grossman,Cole,Cole Grossman,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
RSL,Velasquez,Sebastian,Sebastian Velasquez,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
SEA,Caskey,Alex,Alex Caskey,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
SEA,Ford,Josh,Josh Ford,GK,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
SEA,Rose,Andy,Andy Rose,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
SJE,Newton,Evan,Evan Newton,GK,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
SJE,Tracy,Marcus,Marcus Tracy,F,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
TFC,Bendik,Joe,Joe Bendik,GK,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
TFC,Bloom,Mark,Mark Bloom,D,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
TFC,Konopka,Chris,Chris Konopka,GK,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
TFC,Osorio,Jonathan,Jonathan Osorio,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
