SalaryShortClub,SalaryLastName,SalaryFirstName,SalaryName,SalaryPos, SalaryBaseSalary , SalaryCompensation ,SalaryDate,SalaryYear,SalaryMonth,SalaryMonthYear,Designated Player,Column2
HOU,Johnson,Jason,Jason Johnson,F, $80Ê000.00 , $121Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
CHV,Jean-Baptiste,Andrew,Andrew Jean-Baptiste,D, $80Ê000.00 , $95Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
SKC,Dwyer,Dom,Dom Dwyer,F, $80Ê000.00 , $92Ê500.00 ,"September 15, 2014",2014,September,September 2014,,
SEA,Yedlin,DeAndre,DeAndre Yedlin,D, $80Ê000.00 , $92Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
TFC,Morgan,Ashtone,Ashtone Morgan,D, $80Ê000.00 , $92Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
VAN,Leveron,Johnny,Johnny Leveron,D, $80Ê000.00 , $91Ê188.00 ,"September 15, 2014",2014,September,September 2014,,
RSL,Allen,Jordan,Jordan Allen,M/F, $80Ê000.00 , $90Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
NE,Barnes,Darrius,Darrius Barnes,D, $80Ê000.00 , $86Ê667.00 ,"September 15, 2014",2014,September,September 2014,,
SEA,Barrett,Chad,Chad Barrett,F, $80Ê000.00 , $85Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
LAG,Riley,James,James Riley,D, $80Ê000.00 , $80Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
PHI,White,Ethan,Ethan White,D, $80Ê000.00 , $80Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
SEA,Pineda,Gonzalo,Gonzalo Pineda,M, $80Ê000.00 , $80Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
VAN,Dean,Christian,Christian Dean,D, $80Ê000.00 , $161Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
FCD,Zimmerman,Walker,Walker Zimmerman,D, $80Ê000.00 , $160Ê100.00 ,"April 1, 2014",2014,April,April 2014,,
HOU,Johnson,Jason,Jason Johnson,F, $80Ê000.00 , $121Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
CHV,Jean-Baptiste,Andrew,Andrew Jean-Baptiste,D, $80Ê000.00 , $95Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
SKC,Dwyer,Dom,Dom Dwyer,F, $80Ê000.00 , $92Ê500.00 ,"April 1, 2014",2014,April,April 2014,,
SEA,Yedlin,DeAndre,DeAndre Yedlin,D, $80Ê000.00 , $92Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
TFC,Morgan,Ashtone,Ashtone Morgan,D, $80Ê000.00 , $92Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
VAN,Leveron,Johnny,Johnny Leveron,D, $80Ê000.00 , $91Ê188.00 ,"April 1, 2014",2014,April,April 2014,,
RSL,Allen,Jordan,Jordan Allen,M/F, $80Ê000.00 , $90Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
NE,Barnes,Darrius,Darrius Barnes,D, $80Ê000.00 , $86Ê667.00 ,"April 1, 2014",2014,April,April 2014,,
SEA,Barrett,Chad,Chad Barrett,F, $80Ê000.00 , $85Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
LAG,Riley,James,James Riley,D, $80Ê000.00 , $80Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
PHI,White,Ethan,Ethan White,D, $80Ê000.00 , $80Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
SEA,Pineda,Gonzalo,Gonzalo Pineda,M, $80Ê000.00 , $80Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
NE,Farrell,Andrew,Andrew Farrell,D, $80Ê000.00 , $161Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
LAG,McBean,Jack,Jack McBean,F, $80Ê000.00 , $101Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
TFC,Hall,Jeremy,Jeremy Hall,D, $80Ê000.00 , $90Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
TFC,Caldwell,Steven,Steven Caldwell,D, $80Ê000.00 , $90Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
POR,Alhassan,Kalif,Kalif Alhassan,M, $80Ê000.00 , $89Ê250.00 ,"September 15, 2013",2013,September,September 2013,,
HOU,Deric,Tyler,Tyler Deric,GK, $80Ê000.00 , $87Ê667.00 ,"September 15, 2013",2013,September,September 2013,,
MTL,Brovsky,Jeb,Jeb Brovsky,M, $80Ê000.00 , $84Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
LAG,Clark,Colin,Colin Clark,M, $80Ê000.00 , $80Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
NYRB,Luyindula,Peguy,Peguy Luyindula,F, $80Ê000.00 , $80Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
NE,Farrell,Andrew,Andrew Farrell,D, $80Ê000.00 , $161Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
LAG,McBean,Jack,Jack McBean,F, $80Ê000.00 , $101Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
TFC,Hall,Jeremy,Jeremy Hall,D, $80Ê000.00 , $90Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
TFC,Caldwell,Steven,Steven Caldwell,D, $80Ê000.00 , $90Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
POR,Alhassan,Kalif,Kalif Alhassan,M, $80Ê000.00 , $89Ê250.00 ,"August 1, 2013",2013,August,August 2013,,
HOU,Deric,Tyler,Tyler Deric,GK, $80Ê000.00 , $87Ê667.00 ,"August 1, 2013",2013,August,August 2013,,
MTL,Brovsky,Jeb,Jeb Brovsky,M, $80Ê000.00 , $84Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
LAG,Clark,Colin,Colin Clark,M, $80Ê000.00 , $80Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
NYRB,Luyindula,Peguy,Peguy Luyindula,F, $80Ê000.00 , $80Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
NE,Farrell,Andrew,Andrew Farrell,D, $80Ê000.00 , $161Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
LAG,McBean,Jack,Jack McBean,F, $80Ê000.00 , $101Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
TFC,Hall,Jeremy,Jeremy Hall,D, $80Ê000.00 , $90Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
POR,Alhassan,Kalif,Kalif Alhassan,M, $80Ê000.00 , $89Ê250.00 ,"May 1, 2013",2013,May,May 2013,,
HOU,Deric,Tyler,Tyler Deric,GK, $80Ê000.00 , $87Ê667.00 ,"May 1, 2013",2013,May,May 2013,,
MTL,Brovsky,Jeb,Jeb Brovsky,M, $80Ê000.00 , $84Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
LAG,Clark,Colin,Colin Clark,M, $80Ê000.00 , $80Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
NYRB,Luyindula,Peguy,Peguy Luyindula,F, $80Ê000.00 , $80Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
TFC,Wiedeman ,Andrew ,Andrew  Wiedeman ,F , $80Ê000.00 , $123Ê000.00 ,"January 10, 2012",2012,January,January 2012,,
NYRB,Palsson ,Victor ,Victor  Palsson ,M , $80Ê000.00 , $95Ê000.00 ,"January 10, 2012",2012,January,January 2012,,
MTL,Thomas ,Shavar ,Shavar  Thomas ,D , $80Ê000.00 , $94Ê667.00 ,"January 10, 2012",2012,January,January 2012,,
FCD,Benitez ,Jair ,Jair  Benitez ,D , $80Ê000.00 , $80Ê000.00 ,"January 10, 2012",2012,January,January 2012,,
TFC,Wiedeman ,Andrew ,Andrew  Wiedeman ,F , $80Ê000.00 , $123Ê000.00 ,"August 1, 2012",2012,August,August 2012,,
